UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_0,http://dbpedia.org/resource/BioNTech,BioNTech,Biotechnology,"Ryan Richardson, Sean Marett, Sierk Poetting, Uğur Şahin, Özlem Türeci","Helmut Jeggle, Michael Motschmann, Thomas Strüngmann, Uğur Şahin, Özlem Türeci",Germany,17761766400,14378572800.0,344803814.0,2008.0,Societas Europaea,"Helmut Jeggle, Michael Motschmann, Ryan Richardson, Sean Marett, Sierk Poetting, Thomas Strüngmann, Uğur Şahin, Özlem Türeci"
DBPedia_1,http://dbpedia.org/resource/Royal_Ceramics,Royal Ceramics,Capital good,"A. M. Weerasinghe, Aravinda Perera, H. Amarasekera",,Sri Lanka,57545,86241.0,13690.0,1990.0,Public company,"A. M. Weerasinghe, Aravinda Perera, H. Amarasekera"
DBPedia_2,http://dbpedia.org/resource/Vodafone_Kabel_Deutschland,Vodafone Kabel Deutschland,Telecommunication,Manuel Cubero,,Germany,1719790080,2685879808.0,232124672.0,1980.0,Subsidiary,Manuel Cubero
DBPedia_3,http://dbpedia.org/resource/Union_Pacific_Corporation,Union Pacific Corporation,,Lance M. Fritz,,United States,21800000000,63500000000.0,6500000000.0,1969.0,Public company,Lance M. Fritz
DBPedia_4,http://dbpedia.org/resource/Vallibel_One,Vallibel One,Conglomerate (company),"Dinusha Bhaskaran, H. Amarasekara",Dhammika Perera,Sri Lanka,96859,285210.0,20580.0,2010.0,Public company,"Dhammika Perera, Dinusha Bhaskaran, H. Amarasekara"
DBPedia_5,http://dbpedia.org/resource/Richemont,Richemont,Luxury goods,"Jérôme Lambert, Johann Rupert",Johann Rupert,,12348656640,33230479360.0,1212311040.0,1988.0,Public company,"Johann Rupert, Jérôme Lambert"
DBPedia_6,http://dbpedia.org/resource/Videocon_Group,Videocon Group,Conglomerate (company),Venugopal Dhoot,Venugopal Dhoot,,12828,5430000000.0,1915.0,1979.0,Private company,Venugopal Dhoot
DBPedia_7,http://dbpedia.org/resource/Bloom_Energy,Bloom Energy,,K. R. Sridhar,K. R. Sridhar,,742000000,1389000000.0,259490000.0,2001.0,Public company,K. R. Sridhar
DBPedia_8,http://dbpedia.org/resource/Putevi_Užice,Putevi Užice,Construction industry,Leko Korićanac,,,131267911,95697390.0,347717.0,1962.0,Joint-stock company,Leko Korićanac
DBPedia_9,http://dbpedia.org/resource/Royal_Greenland,Royal Greenland,"Fishing, Seafood","Niels Harald de Coninck-Smith , Mikael Thinghuus",,,7105,1587.0,173000000.0,1990.0,Aktieselskab,"Niels Harald de Coninck-Smith , Mikael Thinghuus"
DBPedia_10,http://dbpedia.org/resource/Booz_Allen_Hamilton,Booz Allen Hamilton,"Information technology consulting, Management consulting","Horacio D. Rozanski, John Michael McConnell",,,8360000000,6030000000.0,466580000.0,1914.0,Public company,"Horacio D. Rozanski, John Michael McConnell"
DBPedia_11,http://dbpedia.org/resource/Petrobank_Energy_and_Resources,Petrobank Energy and Resources,"Heavy crude oil, Natural gas","Chris J. Bloomer, Senior Vice President, Chief operating officer, heavy oil, John D. Wright, Chair, President, Chief EXEC",,,1,7824.0,151.0,1983.0,Public company,"Chris J. Bloomer, Senior Vice President, Chief operating officer, heavy oil, John D. Wright, Chair, President, Chief EXEC"
DBPedia_12,http://dbpedia.org/resource/Robne_kuće_Beograd,Robne kuće Beograd,,Krsta Sandić,,,10205967,250647656.0,97952852.0,1965.0,D.o.o.,Krsta Sandić
DBPedia_13,http://dbpedia.org/resource/Rubis_(company),Rubis (company),,Gilles Gobin,,,1992325120,1654005760.0,71328998.0,1990.0,Société en commandite par actions,Gilles Gobin
DBPedia_14,http://dbpedia.org/resource/Bread_Financial,Bread Financial,,Ralph Andretta,,,4521000000,22547000000.0,213700000.0,1983.0,Public company,Ralph Andretta
DBPedia_15,http://dbpedia.org/resource/Petrol_Group,Petrol Group,Oil and gas industry,,,,2913305600,1682199040.0,67945804.0,1947.0,Public company,
DBPedia_16,http://dbpedia.org/resource/Carnival_Corporation_&_plc,Carnival Corporation & plc,"Hospitality, Tourism","Arnold W. Donald, Micky Arison",Ted Arison,,1908000000,53344000000.0,-9501000000.0,1972.0,Public company,"Arnold W. Donald, Micky Arison, Ted Arison"
DBPedia_17,http://dbpedia.org/resource/Carrier_Global,Carrier Global,Home appliance,Dave Gitlin,Willis Carrier,,17460000000,25090000000.0,1980000000.0,1915.0,Public company,"Dave Gitlin, Willis Carrier"
DBPedia_18,http://dbpedia.org/resource/Rogers_Communications,Rogers Communications,"Mass media, Telecommunications","Edward Rogers, Tony Staffieri",Edward S. Rogers Jr.,,13916000000,38854000000.0,1592000000.0,1935.0,Public company,"Edward Rogers, Edward S. Rogers Jr., Tony Staffieri"
DBPedia_19,http://dbpedia.org/resource/Daycoval,Daycoval,Financial services,"Carlos Dayan, Morris Dayan, Salim Dayan",Sasson Dayan,,1000000000,6300000000.0,174400000.0,1968.0,Private company,"Carlos Dayan, Morris Dayan, Salim Dayan, Sasson Dayan"
DBPedia_20,http://dbpedia.org/resource/Devon_Energy,Devon Energy,Petroleum industry,"Rick Muncrief, CEO & PresidentJeffrey L. Ritenour, CFO",J. Larry Nichols,,12206000000,21025000000.0,2808000000.0,1971.0,Public company,"CEO & PresidentJeffrey L. Ritenour, CFO, J. Larry Nichols, Rick Muncrief"
DBPedia_21,http://dbpedia.org/resource/Payoneer,Payoneer,,"Arnon Kraft, John Caplan, Keren Levy, Scott Galit",Yuval Tal,,473000000,5080000000.0,-34000000.0,2005.0,Public company,"Arnon Kraft, John Caplan, Keren Levy, Scott Galit, Yuval Tal"
DBPedia_22,http://dbpedia.org/resource/Public_Bank_Berhad,Public Bank Berhad,,,Teh Hong Piow,,5490000000,105820000000.0,5510000000.0,1966.0,Public limited company,
DBPedia_23,http://dbpedia.org/resource/Cadence_Design_Systems,Cadence Design Systems,Computer Software,"Anirudh Devgan, Lip-Bu Tan",,,2990000000,4390000000.0,700000000.0,1988.0,Public company,"Anirudh Devgan, Lip-Bu Tan"
DBPedia_24,http://dbpedia.org/resource/CaixaBank,CaixaBank,Financial services,"José Ignacio Goirigolzarri , Gonzalo Gortazar",,,4029759488,363338076.0,1865455360.0,2011.0,S.A. (corporation),"José Ignacio Goirigolzarri , Gonzalo Gortazar"
DBPedia_25,http://dbpedia.org/resource/Camden_Property_Trust,Camden Property Trust,Real estate investment trust,"Richard J. Campo, Chairman & CEOD. Keith Oden, Executive Vice ChairmanAlexander J. Jessett, CFO",,,1043000000,7198000000.0,123000000.0,1981.0,Public company,"Richard J. Campo, Chairman & CEOD. Keith Oden, Executive Vice ChairmanAlexander J. Jessett, CFO"
