"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Profit","1.0","Profit-{Forbes_598}","Forbes_598","{-1800000000}","-1800000000",,
"Assets","1.0","Assets-{Forbes_1410}","Forbes_1410","{7.92}","7.92",,
"Year Founded","1.0","Year Founded-{Forbes_308}","Forbes_308","{1919}","1919","false","1919"
"Assets","1.0","Assets-{Forbes_1434}","Forbes_1434","{3.33}","3.33",,
"Year Founded","1.0","Year Founded-{Forbes_1983}","Forbes_1983","{2004}","2004",,
"Profit","0.0","Profit-{DBPedia_5557+Forbes_69}","DBPedia_5557+Forbes_69","{9945000000|10020000000}","9945000000",,
"Revenue","1.0","Revenue-{Forbes_505}","Forbes_505","{11410000000}","11410000000",,
"Company name","1.0","Company name-{DBPedia_4910+Forbes_1586+SBTI_4129}","DBPedia_4910+Forbes_1586+SBTI_4129","{Palo Alto Networks|Palo Alto Networks|Palo Alto Networks}","Palo Alto Networks",,
"Year Founded","0.0","Year Founded-{DBPedia_9511+Forbes_113}","DBPedia_9511+Forbes_113","{1887|1933}","1933",,
"Profit","0.0","Profit-{DBPedia_8628+Forbes_284}","DBPedia_8628+Forbes_284","{2650168320|2980000000}","2650168320",,
"Profit","0.0","Profit-{DBPedia_9584+Forbes_1764}","DBPedia_9584+Forbes_1764","{651000000|650000000}","651000000",,
"Company name","1.0","Company name-{DBPedia_9511+Forbes_113+SBTI_814}","DBPedia_9511+Forbes_113+SBTI_814","{Bristol Myers Squibb|Bristol Myers Squibb|Bristol Myers Squibb}","Bristol Myers Squibb",,
"Year Founded","0.0","Year Founded-{DBPedia_5381+Forbes_32}","DBPedia_5381+Forbes_32","{1963|1963}","1963",,
"Revenue","0.0","Revenue-{DBPedia_2701+Forbes_300}","DBPedia_2701+Forbes_300","{213990000000|221100000000}","221100000000",,
"Revenue","1.0","Revenue-{DBPedia_4045+Forbes_68}","DBPedia_4045+Forbes_68","{51630000000|51630000000}","51630000000",,
"Profit","1.0","Profit-{Forbes_1340}","Forbes_1340","{950000000}","950000000",,
"Year Founded","0.0","Year Founded-{DBPedia_2667+Forbes_370}","DBPedia_2667+Forbes_370","{1980|1827}","1827",,
