"RecordIDS","AverageConsistency","Year Founded-Consistency","Year Founded-Values","Revenue-Consistency","Revenue-Values","Assets-Consistency","Assets-Values","Profit-Consistency","Profit-Values","Company name-Consistency","Company name-Values","Industry-Consistency","Industry-Values","Net Zero Committed Year-Consistency","Net Zero Committed Year-Values","Country-Consistency","Country-Values"
"DBPedia_10071+DBPedia_10075+DBPedia_10119+DBPedia_1194+DBPedia_1195+DBPedia_1208+DBPedia_153+DBPedia_159+DBPedia_2270+DBPedia_2295+DBPedia_2447+DBPedia_2573+DBPedia_2603+DBPedia_2611+DBPedia_2624+DBPedia_3314+DBPedia_3315+DBPedia_3380+DBPedia_3390+DBPedia_3396+DBPedia_3455+DBPedia_3481+DBPedia_3616+DBPedia_365+DBPedia_4415+DBPedia_4431+DBPedia_4459+DBPedia_5190+DBPedia_5371+DBPedia_5381+DBPedia_5393+DBPedia_61+DBPedia_6384+DBPedia_6391+DBPedia_6407+DBPedia_6409+DBPedia_6442+DBPedia_6457+DBPedia_6488+DBPedia_6570+DBPedia_7433+DBPedia_7482+DBPedia_7655+DBPedia_7666+DBPedia_825+DBPedia_8381+DBPedia_8407+DBPedia_8421+DBPedia_8473+DBPedia_8560+DBPedia_8676+DBPedia_8945+DBPedia_9319+DBPedia_9321+DBPedia_9322+DBPedia_9323+DBPedia_9327+DBPedia_9331+DBPedia_9370+Forbes_1035+Forbes_114+Forbes_1166+Forbes_1273+Forbes_128+Forbes_1395+Forbes_1467+Forbes_32+Forbes_458+Forbes_512+Forbes_569+Forbes_570+Forbes_585+Forbes_736+Forbes_876+Forbes_920+SBTI_1164+SBTI_1189+SBTI_1206+SBTI_1211+SBTI_1212+SBTI_1215+SBTI_1224+SBTI_1230+SBTI_1234+SBTI_1251","0.16134453781512606","0.0","{1969|1967|1982|2000|1963}","0.0","{690000000|1386000000|5300000000|2820267776|274000000|498100000|8053880320|39910000000|14070000000}","0.0","{34.05|1.755|434.176512|42.46|30.15}","0.0","{3700000000|936500000|1090000000}","0.17647058823529413","{Coupa|Comparex|Cohesity|Concentra|Comcast|CommScope|Core-Mark|Conexant|Cognizant|CoorsTek|Coinbase|CoreSite|Coupang|Comcast|Corteva|Colgate-Palmolive|Comcast}","0.35294117647058826","{[]|[]|[, Data management, , Data security, , Disaster recovery, , Information technology, ]|[, Health care, ]|[]|[, Telecommunication, ]|[]|[, Semiconductor industry, , Software industry, ]|[, Consulting, , Information technology, , Outsourcing, ]|[]|[, Cryptocurrency, ]|[, Real estate investment trust, ]|[, Retailing, ]|[, Media, ]|[, Chemicals, ]|[, Household & Personal Products, ]|[]}",,,"0.6","{South Korea|United States|United States|United States|United States of America (USA)}"
"Forbes_947+SBTI_2893","0.7142857142857143","1.0","{1890}","1.0","{4950000000}","1.0","{127.65}","1.0","{1180000000}","0.0","{Julius Baer Group|Julius Baer Group Ltd.}","0.0","{[, Banking, ]|[]}",,,"1.0","{Switzerland|Switzerland}"
"Forbes_725+SBTI_4435","0.5714285714285714","1.0","{1823}","1.0","{18200000000}","1.0","{36.5}","1.0","{-40000000}","0.0","{Reckitt Benckiser Group|Reckitt Benckiser Group plc}","0.0","{[, Household & Personal Products, ]|[]}",,,"0.0","{United Kingdom|United Kingdom (UK)}"
"Forbes_1726+SBTI_5037","0.8571428571428571","1.0","{1968}","1.0","{2910000000}","1.0","{7.26}","1.0","{610000000}","1.0","{SQM|SQM}","0.0","{[, Chemicals, ]|[]}",,,"1.0","{Chile|Chile}"
"Forbes_1652+SBTI_581","0.8571428571428571","1.0","{1985}","1.0","{3220000000}","1.0","{106.19}","1.0","{120000000}","1.0","{Banco Comercial Portugues|Banco Comercial Portugues}","0.0","{[, Banking, ]|[]}",,,"1.0","{Portugal|Portugal}"
"DBPedia_4603+Forbes_120+SBTI_5445","0.4583333333333333","0.0","{1956|1956}","1.0","{39210000000|39210000000}","1.0","{95.12|95.12}","0.0","{7730000000|7720000000}","0.6666666666666666","{Thermo Fisher Scientific|Thermo Fisher Scientific|Thermo Fisher Scientific Inc.}","0.0","{[, Biotechnology, , Health care, , Laboratory, , Pharmaceutical, ]|[, Health Care Equipment & Services, ]|[]}","1.0","{2050}","0.0","{United States|United States of America (USA)}"
"DBPedia_10549+DBPedia_3980+DBPedia_808+DBPedia_896+DBPedia_926+Forbes_1039+Forbes_1170+Forbes_784+Forbes_982+SBTI_2917","0.18095238095238095","0.0","{2014|1964|1997|1995}","0.0","{4160000000000|2300000000|502300000000|5360000000}","0.0","{0.02|19.16}","0.0","{167100000000|213800000000|1220000000}","0.6","{Kakao|Kaiyodo|Kazatomprom|Kakao|Kakao}","0.0","{[, Internet, ]|[, Toys, ]|[, Nuclear fuel cycle, ]|[, IT Software & Services, ]|[]}",,,"0.6666666666666666","{Kazakhstan|South Korea|South Korea}"
"DBPedia_10354+DBPedia_8946+Forbes_1219+SBTI_5345","0.12802197802197804","0.0","{1998|1973|1983|2000|1999|1923|1954|1999|1978|1940}","0.0","{135000000|7561872519|1524|346000000|26554000000|4228992000|12382000000|135327744|3080000000|8410000000|18040000000}",,,,,"0.15384615384615385","{Teremok|Televisa|Telelogic|Termoelectrica|Tele2|Tereos|Textron|Teleste|Terna|Teleperformance|Tenneco|Teleperformance|TEREOS}","0.3076923076923077","{[, Fast food restaurant, ]|[, Mass media, ]|[, Computer services, ]|[, Electricity, ]|[, Telecommunications, ]|[, Agriculture, ]|[]|[]|[, Utilities, ]|[, Business Services & Supplies, ]|[, Consumer Durables, ]|[]|[]}",,,"0.17857142857142858","{Russia|Germany|United States|Estonia|U.S.|Bangladesh|Norway|United States|Italy|Luxembourg|France|Japan|United States|United States|United States|Spain|United Kingdom|Canada|Australia|Sweden|Luxembourg|United States of America (USA)|Spain|France|Australia|France|United Kingdom (UK)|France}"
"Forbes_797+SBTI_4408","0.7142857142857143","1.0","{2010}","1.0","{9050000000}","1.0","{218.46}","1.0","{1510000000}","0.0","{Raiffeisen Bank International|Raiffeisen Bank International AG}","0.0","{[, Banking, ]|[]}",,,"1.0","{Austria|Austria}"
"DBPedia_1613+DBPedia_3816+DBPedia_5164+DBPedia_5748+DBPedia_8757+DBPedia_9503+Forbes_1581+Forbes_1782+Forbes_502+SBTI_512","0.15714285714285717","0.0","{1696|1947|2013|1921|2000|2001|1904|1921|2000}","0.0","{33184000000|7871|375910400|19530000000|2000000000|151500000|7390000000|21590000000|45130000000}","0.0","{358.474|8.92|13.9|9.58|465.18}","0.4","{2036000000|193000000|570000000|460000000|570000000}","0.2","{Aviva|Avinor|Aventics|Avnet|Avanade|AvePoint|Avantor|Avnet|Aviva|Avantor}","0.0","{[, Financial services, ]|[, Airport operator, ]|[, Mechanical engineering, ]|[, Electronics, ]|[, Professional services, , Technology services, ]|[, Computer software, ]|[, Chemicals, ]|[, Trading Companies, ]|[, Insurance, ]|[]}",,,"0.5","{United States|United States|United Kingdom|United States of America (USA)}"
