"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] IndustryComparator record1Value","[0] IndustryComparator record2Value","[0] IndustryComparator record1PreprocessedValue","[0] IndustryComparator record2PreprocessedValue","[0] IndustryComparator similarity","[0] IndustryComparator postproccesedSimilarity","[1] CompanyNameComparatorJaroWrinkler record1Value","[1] CompanyNameComparatorJaroWrinkler record2Value","[1] CompanyNameComparatorJaroWrinkler record1PreprocessedValue","[1] CompanyNameComparatorJaroWrinkler record2PreprocessedValue","[1] CompanyNameComparatorJaroWrinkler similarity","[1] CompanyNameComparatorJaroWrinkler postproccesedSimilarity","[2] CountryComparatorJaroWrinkler record1Value","[2] CountryComparatorJaroWrinkler record2Value","[2] CountryComparatorJaroWrinkler record1PreprocessedValue","[2] CountryComparatorJaroWrinkler record2PreprocessedValue","[2] CountryComparatorJaroWrinkler similarity","[2] CountryComparatorJaroWrinkler postproccesedSimilarity"
"LinearCombinationMatchingRule","SBTI_3532","Forbes_1257","0.7275757575757574",,,,,,,,"metlifecare","metro","metlifecare","metro","0.812121212121212","0.812121212121212","new zealand","canada","new zealand","canada","0.7954545454545454","0.7954545454545454"
"LinearCombinationMatchingRule","SBTI_4839","Forbes_923","0.6961111111111111",,,,,,,,"shinto co.,ltd","shanghai construction","shinto co.,ltd","shanghai construction","0.7896825396825398","0.7896825396825398","japan","china","japan","china","0.7166666666666667","0.7166666666666667"
"LinearCombinationMatchingRule","SBTI_4305","Forbes_441","0.8520772946859902",,,,,,,,"pripal financial group,","pripal financial group","pripal financial group,","pripal financial group","0.9855072463768115","0.9855072463768115","united states (united statesa)","united states","united states (united statesa)","united states","0.8111111111111112","0.8111111111111112"
"LinearCombinationMatchingRule","SBTI_2425","Forbes_1176","0.5083333333333334",,,,,,,,"hera","hexagon","hera","hexagon","0.7261904761904763","0.7261904761904763","italy","sweden","italy","sweden","0.0","0.0"
"LinearCombinationMatchingRule","SBTI_3573","Forbes_104","0.6434343434343434",,,,,,,,"millerknoll","mitsubishi","millerknoll","mitsubishi","0.7303030303030302","0.7303030303030302","united states (united statesa)","japan","united states (united statesa)","japan","0.6611111111111112","0.6611111111111112"
"LinearCombinationMatchingRule","SBTI_1146","Forbes_726","0.6877777777777778",,,,,,,,"cogeco","coal india","cogeco","coal india","0.7555555555555555","0.7555555555555555","canada","india","canada","india","0.7944444444444445","0.7944444444444445"
"LinearCombinationMatchingRule","SBTI_5204","Forbes_1485","0.7150553613053613",,,,,,,,"syngenta","synovus","syngenta","synovus","0.8005952380952381","0.8005952380952381","switzerland","united states","switzerland","united states","0.7731934731934732","0.7731934731934732"
"LinearCombinationMatchingRule","SBTI_1731","Forbes_1478","0.72",,,,,,,,"eri","erdemir","eri","erdemir","0.8253968253968254","0.8253968253968254","bangladesh","turkey","bangladesh","turkey","0.711111111111111","0.711111111111111"
"LinearCombinationMatchingRule","SBTI_5695","Forbes_1062","0.671922387648194",,,,,,,,"uniserve","uni-president","uniserve","uni-president","0.7568681318681318","0.7568681318681318","united kingdom (united kingdom)","taiwan","united kingdom (united kingdom)","taiwan","0.7105734767025089","0.7105734767025089"
"LinearCombinationMatchingRule","SBTI_4827","Forbes_1728","0.6933227006911218",,,,,,,,"shimizukogyou co,.ltd.","shaw communications","shimizukogyou co,.ltd.","shaw communications","0.7634768740031899","0.7634768740031899","japan","canada","japan","canada","0.7944444444444445","0.7944444444444445"
"LinearCombinationMatchingRule","SBTI_2428","Forbes_1176","0.7138888888888888",,,,,,,,"herige","hexagon","herige","hexagon","0.8214285714285714","0.8214285714285714","france","sweden","france","sweden","0.6944444444444444","0.6944444444444444"
"LinearCombinationMatchingRule","SBTI_5605","Forbes_220","0.6822293447293446",,,,,,,,"trioworld","travelers","trioworld","travelers","0.7731481481481481","0.7731481481481481","sweden","united states","sweden","united states","0.7051282051282051","0.7051282051282051"
"LinearCombinationMatchingRule","SBTI_3904","Forbes_415","0.6825396825396824",,,,,,,,"norlys","novatek","norlys","novatek","0.7698412698412698","0.7698412698412698","denmark","russia","denmark","russia","0.7182539682539683","0.7182539682539683"
"LinearCombinationMatchingRule","SBTI_132","Forbes_1423","0.6558974358974359",,,,,,,,"agc","agnc investment","agc","agnc investment","0.7333333333333334","0.7333333333333334","japan","united states","japan","united states","0.7128205128205127","0.7128205128205127"
"LinearCombinationMatchingRule","SBTI_5565","Forbes_220","0.6548148148148148",,,,,,,,"trace3","travelers","trace3","travelers","0.7037037037037037","0.7037037037037037","united states (united statesa)","united states","united states (united statesa)","united states","0.8111111111111112","0.8111111111111112"
"LinearCombinationMatchingRule","SBTI_399","Forbes_1242","0.7222222222222223",,,,,,,,"artelia","arkema","artelia","arkema","0.746031746031746","0.746031746031746","france","france","france","france","1.0","1.0"
"LinearCombinationMatchingRule","SBTI_1008","Forbes_887","0.8999999999999999",,,,,,,,"cez group","cez group","cez group","cez group","1.0","1.0","czech republic","czech republic","czech republic","czech republic","1.0","1.0"
"LinearCombinationMatchingRule","SBTI_4822","Forbes_1728","0.7142650186071238",,,,,,,,"shigalogistec co.,ltd.","shaw communications","shigalogistec co.,ltd.","shaw communications","0.7933944710260499","0.7933944710260499","japan","canada","japan","canada","0.7944444444444445","0.7944444444444445"
"LinearCombinationMatchingRule","SBTI_4192","Forbes_489","0.8999999999999999",,,,,,,,"pernod ricard","pernod ricard","pernod ricard","pernod ricard","1.0","1.0","france","france","france","france","1.0","1.0"
"LinearCombinationMatchingRule","SBTI_5708","Forbes_891","0.6641168091168093",,,,,,,,"unitedhealth group","unipol gruppo","unitedhealth group","unipol gruppo","0.724928774928775","0.724928774928775","united states (united statesa)","italy","united states (united statesa)","italy","0.7833333333333333","0.7833333333333333"
"LinearCombinationMatchingRule","SBTI_3717","Forbes_1408","0.6876923076923076",,,,,,,,"na-kd","navient","na-kd","navient","0.780952380952381","0.780952380952381","sweden","united states","sweden","united states","0.7051282051282051","0.7051282051282051"
"LinearCombinationMatchingRule","SBTI_5279","Forbes_488","0.7417424242424242",,,,,,,,"tazo","taqa","tazo","taqa","0.8333333333333333","0.8333333333333333","netherlands","united arab emirates","netherlands","united arab emirates","0.7920454545454545","0.7920454545454545"
"LinearCombinationMatchingRule","SBTI_1077","Forbes_84","0.6399145299145299",,,,,,,,"cienet","cigna","cienet","cigna","0.7000000000000001","0.7000000000000001","china","united states","china","united states","0.7495726495726496","0.7495726495726496"
