Match ID,dbpedia_uid,forbes_uid,dbpedia_company,forbes_company,Similarity Score,dbpedia_fobes_uids
dbpedia_forbes_4196,DBPedia_4195,Forbes_1937,TMF Group,TMX Group,89,DBPedia_4195Forbes_1937
dbpedia_forbes_5760,DBPedia_5759,Forbes_428,DBS Bank,DNB Bank,88,DBPedia_5759Forbes_428
dbpedia_forbes_7307,DBPedia_7306,Forbes_277,National Grid plc,National Grid,87,DBPedia_7306Forbes_277
dbpedia_forbes_10377,DBPedia_10376,Forbes_949,Aldar Properties,Emaar Properties,88,DBPedia_10376Forbes_949
dbpedia_forbes_2082,DBPedia_2081,Forbes_1690,Winstar Communications,SBA Communications,85,DBPedia_2081Forbes_1690
dbpedia_forbes_6121,DBPedia_6120,Forbes_972,TSMC,SMC,86,DBPedia_6120Forbes_972
dbpedia_forbes_4263,DBPedia_4262,Forbes_892,Ryobi Holdings,SBI Holdings,85,DBPedia_4262Forbes_892
dbpedia_forbes_9829,DBPedia_9828,Forbes_1633,Interactive Brokers,Interactive Brokers Group,86,DBPedia_9828Forbes_1633
dbpedia_forbes_4060,DBPedia_4059,Forbes_71,Hanwha Life Insurance,China Life Insurance,88,DBPedia_4059Forbes_71
dbpedia_forbes_578,DBPedia_577,Forbes_154,DFCU Bank,HDFC Bank,89,DBPedia_577Forbes_154
dbpedia_forbes_10469,DBPedia_10468,Forbes_589,Charter International,Baxter International,88,DBPedia_10468Forbes_589
dbpedia_forbes_136,DBPedia_135,Forbes_1928,Costain Group,CoStar Group,88,DBPedia_135Forbes_1928
dbpedia_forbes_10097,DBPedia_10096,Forbes_176,Maxwell Technologies,Dell Technologies,86,DBPedia_10096Forbes_176
dbpedia_forbes_5083,DBPedia_5082,Forbes_1022,Invest Financial Corporation,iA Financial Corporation,88,DBPedia_5082Forbes_1022
dbpedia_forbes_3474,DBPedia_3473,Forbes_315,Regis Resources,EOG Resources,86,DBPedia_3473Forbes_315
dbpedia_forbes_4271,DBPedia_4270,Forbes_623,Shandong Heavy Industry,Sany Heavy Industry,86,DBPedia_4270Forbes_623
dbpedia_forbes_9003,DBPedia_9002,Forbes_1690,Sunday Communications,SBA Communications,87,DBPedia_9002Forbes_1690
dbpedia_forbes_9356,DBPedia_9355,Forbes_1473,Citi Orient Securities,Orient Securities,87,DBPedia_9355Forbes_1473
dbpedia_forbes_8928,DBPedia_8927,Forbes_1318,International Airlines Group,International Airlines,88,DBPedia_8927Forbes_1318
dbpedia_forbes_8262,DBPedia_8261,Forbes_548,Neumann International,Magna International,85,DBPedia_8261Forbes_548
dbpedia_forbes_2614,DBPedia_2613,Forbes_406,NKIA,Nokia,89,DBPedia_2613Forbes_406
dbpedia_forbes_2487,DBPedia_2486,Forbes_548,ManTech International,Magna International,85,DBPedia_2486Forbes_548
dbpedia_forbes_6070,DBPedia_6069,Forbes_19,Event Communications,Verizon Communications,86,DBPedia_6069Forbes_19
dbpedia_forbes_853,DBPedia_852,Forbes_1286,KCG Holdings,SG Holdings,87,DBPedia_852Forbes_1286
dbpedia_forbes_3853,DBPedia_3852,Forbes_1052,Taro Pharmaceuticals,Teva Pharmaceutical,87,DBPedia_3852Forbes_1052
dbpedia_forbes_4723,DBPedia_4722,Forbes_1286,Silgan Holdings,SG Holdings,85,DBPedia_4722Forbes_1286
dbpedia_forbes_1071,DBPedia_1070,Forbes_1280,RSM International,Yara International,86,DBPedia_1070Forbes_1280
dbpedia_forbes_5155,DBPedia_5154,Forbes_1711,Sysmex Corporation,Sumec Corporation,86,DBPedia_5154Forbes_1711
dbpedia_forbes_844,DBPedia_843,Forbes_1588,TCL Technology,DXC Technology,86,DBPedia_843Forbes_1588
