Match ID,dbpedia_uid,forbes_uid,dbpedia_company,forbes_company,Similarity Score,dbpedia_fobes_uids
dbpedia_forbes_9734,DBPedia_9733,Forbes_239,China Minsheng Bank,China Minsheng Bank,100,DBPedia_9733Forbes_239
dbpedia_forbes_8361,DBPedia_8360,Forbes_1457,Unicharm,Unicharm,100,DBPedia_8360Forbes_1457
dbpedia_forbes_4755,DBPedia_4754,Forbes_928,American Water Works,American Water Works,100,DBPedia_4754Forbes_928
dbpedia_forbes_9499,DBPedia_9498,Forbes_411,BAE Systems,BAE Systems,100,DBPedia_9498Forbes_411
dbpedia_forbes_6941,DBPedia_6940,Forbes_1561,EQT,EQT,100,DBPedia_6940Forbes_1561
dbpedia_forbes_7546,DBPedia_7545,Forbes_78,Siemens,Siemens,100,DBPedia_7545Forbes_78
dbpedia_forbes_10193,DBPedia_10192,Forbes_423,Lennar,Lennar,100,DBPedia_10192Forbes_423
dbpedia_forbes_6386,DBPedia_6385,Forbes_525,Prologis,Prologis,100,DBPedia_6385Forbes_525
dbpedia_forbes_2879,DBPedia_2878,Forbes_931,Intuitive Surgical,Intuitive Surgical,100,DBPedia_2878Forbes_931
dbpedia_forbes_8422,DBPedia_8421,Forbes_1166,Coupang,Coupang,100,DBPedia_8421Forbes_1166
dbpedia_forbes_10039,DBPedia_10038,Forbes_1735,Rite Aid,Rite Aid,100,DBPedia_10038Forbes_1735
dbpedia_forbes_2662,DBPedia_2661,Forbes_20,AT&T,AT&T,100,DBPedia_2661Forbes_20
dbpedia_forbes_4404,DBPedia_4403,Forbes_601,Boston Scientific,Boston Scientific,100,DBPedia_4403Forbes_601
dbpedia_forbes_9228,DBPedia_9227,Forbes_589,Baxter International,Baxter International,100,DBPedia_9227Forbes_589
dbpedia_forbes_661,DBPedia_660,Forbes_617,Halliburton,Halliburton,100,DBPedia_660Forbes_617
dbpedia_forbes_1823,DBPedia_1822,Forbes_1571,Fortive,Fortive,100,DBPedia_1822Forbes_1571
dbpedia_forbes_7759,DBPedia_7758,Forbes_203,Allstate,Allstate,100,DBPedia_7758Forbes_203
dbpedia_forbes_6376,DBPedia_6375,Forbes_562,Best Buy,Best Buy,100,DBPedia_6375Forbes_562
dbpedia_forbes_224,DBPedia_223,Forbes_454,MediaTek,MediaTek,100,DBPedia_223Forbes_454
dbpedia_forbes_7554,DBPedia_7553,Forbes_818,Stora Enso,Stora Enso,100,DBPedia_7553Forbes_818
dbpedia_forbes_2867,DBPedia_2866,Forbes_1014,FANUC,Fanuc,100,DBPedia_2866Forbes_1014
dbpedia_forbes_1256,DBPedia_1255,Forbes_1803,Jointown Pharmaceutical Group,Jointown Pharmaceutical Group,100,DBPedia_1255Forbes_1803
dbpedia_forbes_6743,DBPedia_6742,Forbes_341,Ameriprise Financial,Ameriprise Financial,100,DBPedia_6742Forbes_341
dbpedia_forbes_7722,DBPedia_7721,Forbes_9,Bank of America,Bank of America,100,DBPedia_7721Forbes_9
dbpedia_forbes_7138,DBPedia_7137,Forbes_1692,LG Uplus,LG Uplus,100,DBPedia_7137Forbes_1692
dbpedia_forbes_6735,DBPedia_6734,Forbes_1343,Aurubis,Aurubis,100,DBPedia_6734Forbes_1343
dbpedia_forbes_6632,DBPedia_6631,Forbes_1263,Mitsui Chemicals,Mitsui Chemicals,100,DBPedia_6631Forbes_1263
dbpedia_forbes_458,DBPedia_457,Forbes_1053,C. H. Robinson,C.H. Robinson,100,DBPedia_457Forbes_1053
dbpedia_forbes_4925,DBPedia_4924,Forbes_1009,EBay,eBay,100,DBPedia_4924Forbes_1009
dbpedia_forbes_4383,DBPedia_4382,Forbes_441,Principal Financial Group,Principal Financial Group,100,DBPedia_4382Forbes_441
dbpedia_forbes_1637,DBPedia_1636,Forbes_245,COSCO Shipping,Cosco Shipping,100,DBPedia_1636Forbes_245
dbpedia_forbes_8537,DBPedia_8536,Forbes_572,Citizens Financial Group,Citizens Financial Group,100,DBPedia_8536Forbes_572
dbpedia_forbes_8954,DBPedia_8953,Forbes_1174,Textron,Textron,100,DBPedia_8953Forbes_1174
dbpedia_forbes_10209,DBPedia_10208,Forbes_731,Simon Property Group,Simon Property Group,100,DBPedia_10208Forbes_731
dbpedia_forbes_3164,DBPedia_3163,Forbes_1747,WuXi Biologics,WuXi Biologics,100,DBPedia_3163Forbes_1747
dbpedia_forbes_10332,DBPedia_10331,Forbes_718,Weyerhaeuser,Weyerhaeuser,100,DBPedia_10331Forbes_718
dbpedia_forbes_4951,DBPedia_4950,Forbes_1336,Eurazeo,Eurazeo,100,DBPedia_4950Forbes_1336
dbpedia_forbes_10438,DBPedia_10437,Forbes_1415,Faurecia,Faurecia,100,DBPedia_10437Forbes_1415
dbpedia_forbes_39,DBPedia_38,Forbes_1054,Verbund,Verbund,100,DBPedia_38Forbes_1054
dbpedia_forbes_2801,DBPedia_2800,Forbes_946,Alexandria Real Estate Equities,Alexandria Real Estate Equities,100,DBPedia_2800Forbes_946
dbpedia_forbes_449,DBPedia_448,Forbes_1840,Zscaler,Zscaler,100,DBPedia_448Forbes_1840
dbpedia_forbes_5556,DBPedia_5555,Forbes_169,SAP,SAP,100,DBPedia_5555Forbes_169
dbpedia_forbes_9388,DBPedia_9387,Forbes_432,General Mills,General Mills,100,DBPedia_9387Forbes_432
dbpedia_forbes_6141,DBPedia_6140,Forbes_879,LG Display,LG Display,100,DBPedia_6140Forbes_879
dbpedia_forbes_7116,DBPedia_7115,Forbes_1287,Sojitz,Sojitz,100,DBPedia_7115Forbes_1287
dbpedia_forbes_49,DBPedia_48,Forbes_998,Dentsu,Dentsu,100,DBPedia_48Forbes_998
dbpedia_forbes_4344,DBPedia_4343,Forbes_74,MetLife,MetLife,100,DBPedia_4343Forbes_74
