Match ID,dbpedia_uid,forbes_uid,dbpedia_company,forbes_company,Similarity Score,dbpedia_fobes_uids
dbpedia_forbes_1880,DBPedia_1879,Forbes_386,ERM (consultancy),Tata Consultancy Services,70,DBPedia_1879Forbes_386
dbpedia_forbes_5685,DBPedia_5684,Forbes_1046,Gategroup,PulteGroup,74,DBPedia_5684Forbes_1046
dbpedia_forbes_4396,DBPedia_4395,Forbes_267,MasTec,Mastercard,75,DBPedia_4395Forbes_267
dbpedia_forbes_7868,DBPedia_7867,Forbes_1057,DIGI Group,3i Group,78,DBPedia_7867Forbes_1057
dbpedia_forbes_2203,DBPedia_2202,Forbes_247,Nasir Group,NatWest Group,75,DBPedia_2202Forbes_247
dbpedia_forbes_8830,DBPedia_8829,Forbes_75,CPP Group,BHP Group,78,DBPedia_8829Forbes_75
dbpedia_forbes_2253,DBPedia_2252,Forbes_1634,Beacon Pharmaceuticals,Sino Biopharmaceutical,77,DBPedia_2252Forbes_1634
dbpedia_forbes_9746,DBPedia_9745,Forbes_1131,John Lewis & Partners,Partners Group Holding,59,DBPedia_9745Forbes_1131
dbpedia_forbes_6274,DBPedia_6273,Forbes_611,OneBeyond,Oneok,57,DBPedia_6273Forbes_611
dbpedia_forbes_8342,DBPedia_8341,Forbes_176,Dell Technologies PowerFlex,Dell Technologies,77,DBPedia_8341Forbes_176
dbpedia_forbes_270,DBPedia_269,Forbes_434,Anhanguera Educacional,National Bank of Canada,53,DBPedia_269Forbes_434
dbpedia_forbes_2806,DBPedia_2805,Forbes_988,Amwell (company),CP All,60,DBPedia_2805Forbes_988
dbpedia_forbes_2478,DBPedia_2477,Forbes_498,Lenovo,Lenovo Group,67,DBPedia_2477Forbes_498
dbpedia_forbes_7776,DBPedia_7775,Forbes_1750,"Burlington Northern Santa Fe, LLC",Burlington Stores,61,DBPedia_7775Forbes_1750
dbpedia_forbes_1656,DBPedia_1655,Forbes_697,Adtranz,Safran,62,DBPedia_1655Forbes_697
dbpedia_forbes_2402,DBPedia_2401,Forbes_454,Mastek,MediaTek,71,DBPedia_2401Forbes_454
dbpedia_forbes_7680,DBPedia_7679,Forbes_1387,Zhongjin Lingnan,Zhongliang Holdings ,69,DBPedia_7679Forbes_1387
dbpedia_forbes_9111,DBPedia_9110,Forbes_1900,Oboronprom,Brown & Brown,57,DBPedia_9110Forbes_1900
dbpedia_forbes_3942,DBPedia_3941,Forbes_1022,Japan Finance Corporation,iA Financial Corporation,82,DBPedia_3941Forbes_1022
dbpedia_forbes_2748,DBPedia_2747,Forbes_540,4INFO,Infosys,67,DBPedia_2747Forbes_540
dbpedia_forbes_2360,DBPedia_2359,Forbes_1016,Rollerblade,Legrand,56,DBPedia_2359Forbes_1016
dbpedia_forbes_10041,DBPedia_10040,Forbes_1842,Ricola,Ricoh,73,DBPedia_10040Forbes_1842
dbpedia_forbes_7212,DBPedia_7211,Forbes_170,Phoenix Solar,SK Hynix,57,DBPedia_7211Forbes_170
dbpedia_forbes_2234,DBPedia_2233,Forbes_613,Ordnance Factory Board,Warner Bros. Discovery,51,DBPedia_2233Forbes_613
dbpedia_forbes_10605,DBPedia_10604,Forbes_153,Plaid (company),Deere & Company,69,DBPedia_10604Forbes_153
