Match ID,dbpedia_uid,sbti_uid,dbpedia_company,sbti_company,Similarity Score,dbpedia_sbti_uids
dbpedia_sbti_1846,DBPedia_1845,SBTI_1740,ESB Group,Esh Group,89,DBPedia_1845SBTI_1740
dbpedia_sbti_136,DBPedia_135,SBTI_1241,Costain Group,Costain Group Plc,87,DBPedia_135SBTI_1241
dbpedia_sbti_9777,DBPedia_9776,SBTI_1494,Domino's Pizza Group,Domino's Pizza Group plc,91,DBPedia_9776SBTI_1494
dbpedia_sbti_3446,DBPedia_3445,SBTI_5370,Berkeley Group Holdings,The Berkeley Group Holdings plc,85,DBPedia_3445SBTI_5370
dbpedia_sbti_2618,DBPedia_2617,SBTI_2058,GGP Inc.,Gap Inc.,86,DBPedia_2617SBTI_2058
dbpedia_sbti_10111,DBPedia_10110,SBTI_1039,Chess Communication,Chime Communications,87,DBPedia_10110SBTI_1039
dbpedia_sbti_1397,DBPedia_1396,SBTI_915,Ann Inc.,CANON INC.,88,DBPedia_1396SBTI_915
dbpedia_sbti_1172,DBPedia_1171,SBTI_1185,Computacenter,Computacenter PLC,87,DBPedia_1171SBTI_1185
dbpedia_sbti_5975,DBPedia_5974,SBTI_2423,Henry Schein,"Henry Schein, Inc.",86,DBPedia_5974SBTI_2423
dbpedia_sbti_10069,DBPedia_10068,SBTI_1286,Crown Holdings,"Crown Holdings, Inc",88,DBPedia_10068SBTI_1286
dbpedia_sbti_7158,DBPedia_7157,SBTI_5201,Syneos Health,"Syneos Health, Inc.",87,DBPedia_7157SBTI_5201
dbpedia_sbti_10212,DBPedia_10211,SBTI_3343,ME Group,Mäder Group,89,DBPedia_10211SBTI_3343
dbpedia_sbti_2630,DBPedia_2629,SBTI_1224,Orbicon,Corbion,86,DBPedia_2629SBTI_1224
dbpedia_sbti_2487,DBPedia_2486,SBTI_3400,ManTech International,Manutan International,86,DBPedia_2486SBTI_3400
dbpedia_sbti_3579,DBPedia_3578,SBTI_3305,Luba Group,Lucta Group,86,DBPedia_3578SBTI_3305
dbpedia_sbti_6553,DBPedia_6552,SBTI_5457,Thor Industries,"Thor Industries, Inc.",88,DBPedia_6552SBTI_5457
dbpedia_sbti_9746,DBPedia_9745,SBTI_2867,John Lewis & Partners,John Lewis Partnership,93,DBPedia_9745SBTI_2867
dbpedia_sbti_776,DBPedia_775,SBTI_2455,Hill Dickinson,Hill Dickinson LLP,88,DBPedia_775SBTI_2455
dbpedia_sbti_2737,DBPedia_2736,SBTI_282,American Eagle Outfitters,"American Eagle Outfitters, Inc.",93,DBPedia_2736SBTI_282
dbpedia_sbti_5122,DBPedia_5121,SBTI_2386,L3 Technologies,HCL Technologies,90,DBPedia_5121SBTI_2386
dbpedia_sbti_4217,DBPedia_4216,SBTI_4419,Randstad NV,Randstad N.V.,87,DBPedia_4216SBTI_4419
dbpedia_sbti_5860,DBPedia_5859,SBTI_873,Bytes Technology Group,Bytes Technology Group Plc,92,DBPedia_5859SBTI_873
dbpedia_sbti_9186,DBPedia_9185,SBTI_3311,Lumene,Lumen,91,DBPedia_9185SBTI_3311
dbpedia_sbti_7393,DBPedia_7392,SBTI_4495,Restaurant Brands International,Restaurant Brands International Inc.,94,DBPedia_7392SBTI_4495
dbpedia_sbti_2158,DBPedia_2157,SBTI_5476,IME Group,TIM Group,89,DBPedia_2157SBTI_5476
dbpedia_sbti_7604,DBPedia_7603,SBTI_1714,Epic Systems,EPAM Systems Inc.,86,DBPedia_7603SBTI_1714
dbpedia_sbti_2704,DBPedia_2703,SBTI_136,Agilent Technologies,"Agilent Technologies, Inc",91,DBPedia_2703SBTI_136
dbpedia_sbti_6387,DBPedia_6386,SBTI_942,Cardinal Health,"Cardinal Health, Inc.",88,DBPedia_6386SBTI_942
dbpedia_sbti_9015,DBPedia_9014,SBTI_5604,Triodos Bank,Triodos Bank N.V.,86,DBPedia_9014SBTI_5604
dbpedia_sbti_5671,DBPedia_5670,SBTI_1065,Chugai Pharmaceutical Co.,"Chugai Pharmaceutical Co., Ltd.",92,DBPedia_5670SBTI_1065
dbpedia_sbti_9511,DBPedia_9510,SBTI_582,Banco do Brasil,Banco do Brasil S.A.,88,DBPedia_9510SBTI_582
dbpedia_sbti_10021,DBPedia_10020,SBTI_1422,Derwent London,Derwent London Plc,88,DBPedia_10020SBTI_1422
dbpedia_sbti_1740,DBPedia_1739,SBTI_735,BMD Group,BMW Group,89,DBPedia_1739SBTI_735
dbpedia_sbti_8768,DBPedia_8767,SBTI_132,ACN Inc.,AGC Inc.,86,DBPedia_8767SBTI_132
dbpedia_sbti_9838,DBPedia_9837,SBTI_3245,Inphi Corporation,Lion Corporation,85,DBPedia_9837SBTI_3245
dbpedia_sbti_7156,DBPedia_7155,SBTI_5138,Sumitomo Rubber Industries,"SUMITOMO RUBBER INDUSTRIES,LTD.",93,DBPedia_7155SBTI_5138
dbpedia_sbti_7061,DBPedia_7060,SBTI_4148,International Speedway Corporation,Parexel International Corporation,87,DBPedia_7060SBTI_4148
dbpedia_sbti_5198,DBPedia_5197,SBTI_782,Bolton Group,Boxon Group,87,DBPedia_5197SBTI_782
dbpedia_sbti_9859,DBPedia_9858,SBTI_4007,Oki Electric Industry,"OKI Electric Industry Co., Ltd.",86,DBPedia_9858SBTI_4007
dbpedia_sbti_3599,DBPedia_3598,SBTI_5516,LuLu Group International,Toly Group International,88,DBPedia_3598SBTI_5516
dbpedia_sbti_7438,DBPedia_7437,SBTI_4462,Reichle & De-Massari,Reichle & De-Massari AG,92,DBPedia_7437SBTI_4462
dbpedia_sbti_2722,DBPedia_2721,SBTI_2389,Headlam Group,Headlam Group Plc,87,DBPedia_2721SBTI_2389
dbpedia_sbti_2573,DBPedia_2572,SBTI_1141,Coca-Cola Europacific Partners,Coca Cola European Partners,88,DBPedia_2572SBTI_1141
dbpedia_sbti_4110,DBPedia_4109,SBTI_3216,LG Electronics,LG Electronics Inc.,88,DBPedia_4109SBTI_3216
dbpedia_sbti_2669,DBPedia_2668,SBTI_5466,ThyssenKrupp,thyssenkrupp AG,89,DBPedia_2668SBTI_5466
dbpedia_sbti_4279,DBPedia_4278,SBTI_6046,RAC Limited,Xtrac Limited,92,DBPedia_4278SBTI_6046
dbpedia_sbti_3542,DBPedia_3541,SBTI_2956,NCB Financial Group,KB Financial Group,92,DBPedia_3541SBTI_2956
dbpedia_sbti_7178,DBPedia_7177,SBTI_2169,Dorel Industries,Godrej Industries,85,DBPedia_7177SBTI_2169
dbpedia_sbti_6421,DBPedia_6420,SBTI_389,Amigo Holdings,Arm Holdings,85,DBPedia_6420SBTI_389
dbpedia_sbti_5541,DBPedia_5540,SBTI_4285,Pragma Group,Prada Group,87,DBPedia_5540SBTI_4285
dbpedia_sbti_9894,DBPedia_9893,SBTI_5615,Smit International,Trust International,86,DBPedia_9893SBTI_5615
dbpedia_sbti_10014,DBPedia_10013,SBTI_1434,Deutsche Telekom,Deutsche Telekom AG,91,DBPedia_10013SBTI_1434
dbpedia_sbti_3383,DBPedia_3382,SBTI_3685,Press Corporation Limited,MTR Corporation Limited,88,DBPedia_3382SBTI_3685
dbpedia_sbti_1321,DBPedia_1320,SBTI_1158,Colt Group,Colruyt Group,87,DBPedia_1320SBTI_1158
dbpedia_sbti_9649,DBPedia_9648,SBTI_2481,Nifty Corporation,HNI Corporation,88,DBPedia_9648SBTI_2481
dbpedia_sbti_3814,DBPedia_3813,SBTI_2664,PIN Group,ING Group,89,DBPedia_3813SBTI_2664
dbpedia_sbti_9651,DBPedia_9650,SBTI_4284,PPG Industries,"PPG Industries, Inc.",88,DBPedia_9650SBTI_4284
dbpedia_sbti_2995,DBPedia_2994,SBTI_1416,Tesoro Corporation,DENSO Corporation,86,DBPedia_2994SBTI_1416
dbpedia_sbti_4690,DBPedia_4689,SBTI_3081,Loews Corporation,KOSÉ Corporation,88,DBPedia_4689SBTI_3081
dbpedia_sbti_8714,DBPedia_8713,SBTI_489,APA Corporation,AUO Corporation,87,DBPedia_8713SBTI_489
dbpedia_sbti_4237,DBPedia_4236,SBTI_3551,Micro-Star International,"Micro-Star International Co., Ltd.",87,DBPedia_4236SBTI_3551
dbpedia_sbti_2696,DBPedia_2695,SBTI_5303,Técnicas Reunidas,Técnicas Reunidas S.A.,89,DBPedia_2695SBTI_5303
dbpedia_sbti_2865,DBPedia_2864,SBTI_2827,Japan Tobacco,Japan Tobacco Inc.,87,DBPedia_2864SBTI_2827
dbpedia_sbti_7928,DBPedia_7927,SBTI_5330,Estrela (company),Telia Company,86,DBPedia_7927SBTI_5330
dbpedia_sbti_10099,DBPedia_10098,SBTI_3514,SERRV International,Mercer International,87,DBPedia_10098SBTI_3514
dbpedia_sbti_1622,DBPedia_1621,SBTI_104,CMOC Group Limited,adm Group Limited,86,DBPedia_1621SBTI_104
dbpedia_sbti_8051,DBPedia_8050,SBTI_396,Arrow Electronics,"Arrow Electronics, Inc.",89,DBPedia_8050SBTI_396
dbpedia_sbti_2615,DBPedia_2614,SBTI_1076,Civeo Corporation,Ciena Corporation,88,DBPedia_2614SBTI_1076
dbpedia_sbti_2179,DBPedia_2178,SBTI_3389,Mansour Group,Manitou Group,85,DBPedia_2178SBTI_3389
dbpedia_sbti_5767,DBPedia_5766,SBTI_1330,Dairy Farmers of America,"Dairy Farmers of America, Inc.",92,DBPedia_5766SBTI_1330
dbpedia_sbti_1195,DBPedia_1194,SBTI_1224,Corimon,Corbion,86,DBPedia_1194SBTI_1224
dbpedia_sbti_9827,DBPedia_9826,SBTI_2962,Kirby Corporation,KDDI Corporation,85,DBPedia_9826SBTI_2962
dbpedia_sbti_4330,DBPedia_4329,SBTI_2956,OP Financial Group,KB Financial Group,89,DBPedia_4329SBTI_2956
dbpedia_sbti_3343,DBPedia_3342,SBTI_1188,Conagra Brands,"Conagra Brands, Inc.",88,DBPedia_3342SBTI_1188
dbpedia_sbti_4238,DBPedia_4237,SBTI_2664,IG Group,ING Group,94,DBPedia_4237SBTI_2664
dbpedia_sbti_2127,DBPedia_2126,SBTI_6020,Worldline SA,Worldline,86,DBPedia_2126SBTI_6020
dbpedia_sbti_7940,DBPedia_7939,SBTI_1536,Dunelm Group,Dunelm Group PLC,86,DBPedia_7939SBTI_1536
dbpedia_sbti_2890,DBPedia_2889,SBTI_559,Atkins (company),Bain & Company,85,DBPedia_2889SBTI_559
dbpedia_sbti_9395,DBPedia_9394,SBTI_2028,"Fuller, Smith & Turner","Fuller, Smith & Turner P.L.C.",86,DBPedia_9394SBTI_2028
dbpedia_sbti_8050,DBPedia_8049,SBTI_2709,International Game Technology,International Game Technology PLC,94,DBPedia_8049SBTI_2709
dbpedia_sbti_7592,DBPedia_7591,SBTI_3283,Lonza Group,Lorenz Group,87,DBPedia_7591SBTI_3283
dbpedia_sbti_6592,DBPedia_6591,SBTI_2124,Gilead Sciences,"Gilead Sciences, Inc.",88,DBPedia_6591SBTI_2124
dbpedia_sbti_2528,DBPedia_2527,SBTI_5618,SDB bank,TSB Bank,88,DBPedia_2527SBTI_5618
dbpedia_sbti_8608,DBPedia_8607,SBTI_1280,"Critical Path, Inc.","Critical Start, Inc.",86,DBPedia_8607SBTI_1280
dbpedia_sbti_8077,DBPedia_8076,SBTI_2943,Kaufman & Broad S.A.,Kaufman & Broad,87,DBPedia_8076SBTI_2943
dbpedia_sbti_8408,DBPedia_8407,SBTI_1224,Corizon,Corbion,86,DBPedia_8407SBTI_1224
dbpedia_sbti_8037,DBPedia_8036,SBTI_3572,Millennium & Copthorne Hotels,Millennium & Copthorne Hotels plc.,93,DBPedia_8036SBTI_3572
dbpedia_sbti_4708,DBPedia_4707,SBTI_2244,NEX Group,Group One,89,DBPedia_4707SBTI_2244
dbpedia_sbti_3920,DBPedia_3919,SBTI_1601,EDP Group,EDF Group,89,DBPedia_3919SBTI_1601
dbpedia_sbti_3064,DBPedia_3063,SBTI_5468,TI Fluid Systems,TI Fluid Systems plc,89,DBPedia_3063SBTI_5468
dbpedia_sbti_6380,DBPedia_6379,SBTI_559,Bic (company),Bain & Company,87,DBPedia_6379SBTI_559
dbpedia_sbti_9631,DBPedia_9630,SBTI_1888,First Solar,First Solar Inc,85,DBPedia_9630SBTI_1888
dbpedia_sbti_4928,DBPedia_4927,SBTI_2340,Hanesbrands,Hanesbrands Inc.,85,DBPedia_4927SBTI_2340
dbpedia_sbti_2267,DBPedia_2266,SBTI_1206,Continental AG,Continental,88,DBPedia_2266SBTI_1206
dbpedia_sbti_6497,DBPedia_6496,SBTI_1481,DLR Group,DLG Group,89,DBPedia_6496SBTI_1481
dbpedia_sbti_5009,DBPedia_5008,SBTI_483,Auction Technology Group,Auction Technology Group plc,92,DBPedia_5008SBTI_483
dbpedia_sbti_8078,DBPedia_8077,SBTI_5487,TRW Automotive,TMG Automotive,86,DBPedia_8077SBTI_5487
dbpedia_sbti_5026,DBPedia_5025,SBTI_2431,Harman International,Hermès International,87,DBPedia_5025SBTI_2431
dbpedia_sbti_2089,DBPedia_2088,SBTI_1161,IAC (company),Comany Inc.,86,DBPedia_2088SBTI_1161
dbpedia_sbti_3573,DBPedia_3572,SBTI_4065,Origin Enterprises,Origin Enterprises plc,90,DBPedia_3572SBTI_4065
dbpedia_sbti_9983,DBPedia_9982,SBTI_720,Belo Corporation,BLB CORPORATION,90,DBPedia_9982SBTI_720
dbpedia_sbti_9506,DBPedia_9505,SBTI_753,BDO Global,Boma Global,86,DBPedia_9505SBTI_753
dbpedia_sbti_10441,DBPedia_10440,SBTI_3294,Fluor Corporation,Lozier Corporation,86,DBPedia_10440SBTI_3294
dbpedia_sbti_2667,DBPedia_2666,SBTI_824,Brookfield Properties,Brookfield Properties UK,93,DBPedia_2666SBTI_824
dbpedia_sbti_9585,DBPedia_9584,SBTI_173,Akamai Technologies,Akamai Technologies INC,90,DBPedia_9584SBTI_173
dbpedia_sbti_10047,DBPedia_10046,SBTI_5878,VolkerWessels,VolkerWessels UK,90,DBPedia_10046SBTI_5878
dbpedia_sbti_6606,DBPedia_6605,SBTI_5052,Stagecoach Group,Stagecoach Group plc,89,DBPedia_6605SBTI_5052
dbpedia_sbti_1403,DBPedia_1402,SBTI_3713,N Brown Group,N Brown Group Plc,87,DBPedia_1402SBTI_3713
dbpedia_sbti_9654,DBPedia_9653,SBTI_4125,Palantir Technologies,Palantir Technologies Inc.,91,DBPedia_9653SBTI_4125
