Match ID,dbpedia_uid,sbti_uid,dbpedia_company,sbti_company,Similarity Score,dbpedia_sbti_uids
dbpedia_sbti_9657,DBPedia_9656,SBTI_4154,Parque Arauco S.A.,Parque Arauco S.A,100,DBPedia_9656SBTI_4154
dbpedia_sbti_1208,DBPedia_1207,SBTI_5732,"Ushio, Inc.",USHIO INC.,100,DBPedia_1207SBTI_5732
dbpedia_sbti_246,DBPedia_245,SBTI_356,Aramark,Aramark,100,DBPedia_245SBTI_356
dbpedia_sbti_2812,DBPedia_2811,SBTI_571,Bally's Corporation,Bally's Corporation,100,DBPedia_2811SBTI_571
dbpedia_sbti_10229,DBPedia_10228,SBTI_5061,Staples Inc.,Staples Inc.,100,DBPedia_10228SBTI_5061
dbpedia_sbti_8297,DBPedia_8296,SBTI_5935,Wells & Co,Wells & Co.,100,DBPedia_8296SBTI_5935
dbpedia_sbti_3337,DBPedia_3336,SBTI_4492,Resolute Forest Products,Resolute Forest Products,100,DBPedia_3336SBTI_4492
dbpedia_sbti_5905,DBPedia_5904,SBTI_5402,The Home Depot,The Home Depot,100,DBPedia_5904SBTI_5402
dbpedia_sbti_9592,DBPedia_9591,SBTI_213,Allbirds,Allbirds,100,DBPedia_9591SBTI_213
dbpedia_sbti_4632,DBPedia_4631,SBTI_3545,MGM Resorts International,MGM Resorts International,100,DBPedia_4631SBTI_3545
dbpedia_sbti_6288,DBPedia_6287,SBTI_4074,Orthex,Orthex,100,DBPedia_6287SBTI_4074
dbpedia_sbti_2523,DBPedia_2522,SBTI_4953,Snap Inc.,Snap Inc.,100,DBPedia_2522SBTI_4953
dbpedia_sbti_7226,DBPedia_7225,SBTI_6047,Xylem Inc.,Xylem Inc.,100,DBPedia_7225SBTI_6047
dbpedia_sbti_7753,DBPedia_7752,SBTI_44,AbbVie,AbbVie,100,DBPedia_7752SBTI_44
dbpedia_sbti_2851,DBPedia_2850,SBTI_2526,HP Inc.,HP Inc,100,DBPedia_2850SBTI_2526
dbpedia_sbti_3763,DBPedia_3762,SBTI_1290,CSL Limited,CSL Limited,100,DBPedia_3762SBTI_1290
dbpedia_sbti_3588,DBPedia_3587,SBTI_3222,Liberty Global,Liberty Global,100,DBPedia_3587SBTI_3222
dbpedia_sbti_4801,DBPedia_4800,SBTI_856,Bupa,Bupa,100,DBPedia_4800SBTI_856
dbpedia_sbti_9815,DBPedia_9814,SBTI_2610,IKEA,IKEA,100,DBPedia_9814SBTI_2610
dbpedia_sbti_3194,DBPedia_3193,SBTI_6013,Workiva,Workiva,100,DBPedia_3193SBTI_6013
dbpedia_sbti_5936,DBPedia_5935,SBTI_5262,"Tapestry, Inc.","Tapestry, Inc.",100,DBPedia_5935SBTI_5262
dbpedia_sbti_4939,DBPedia_4938,SBTI_1727,Eramet,ERAMET,100,DBPedia_4938SBTI_1727
dbpedia_sbti_481,DBPedia_480,SBTI_1257,CPFL Energia,CPFL Energia,100,DBPedia_480SBTI_1257
dbpedia_sbti_4408,DBPedia_4407,SBTI_5678,Umicore,Umicore,100,DBPedia_4407SBTI_5678
dbpedia_sbti_6253,DBPedia_6252,SBTI_3965,O-I Glass,O-I Glass,100,DBPedia_6252SBTI_3965
dbpedia_sbti_10209,DBPedia_10208,SBTI_4897,Simon Property Group,Simon Property Group,100,DBPedia_10208SBTI_4897
dbpedia_sbti_1987,DBPedia_1986,SBTI_2957,KB Home,KB Home,100,DBPedia_1986SBTI_2957
dbpedia_sbti_5236,DBPedia_5235,SBTI_4785,Severn Trent,Severn Trent,100,DBPedia_5235SBTI_4785
dbpedia_sbti_6190,DBPedia_6189,SBTI_5246,Takasago International Corporation,Takasago International Corporation,100,DBPedia_6189SBTI_5246
dbpedia_sbti_2709,DBPedia_2708,SBTI_1004,Ceridian,Ceridian,100,DBPedia_2708SBTI_1004
dbpedia_sbti_1394,DBPedia_1393,SBTI_1644,Elementis,Elementis,100,DBPedia_1393SBTI_1644
dbpedia_sbti_2672,DBPedia_2671,SBTI_5730,USG Corporation,USG Corporation,100,DBPedia_2671SBTI_5730
dbpedia_sbti_3727,DBPedia_3726,SBTI_5474,Tietoevry,TietoEVRY,100,DBPedia_3726SBTI_5474
dbpedia_sbti_2899,DBPedia_2898,SBTI_2458,Hilton Food Group,Hilton Food Group,100,DBPedia_2898SBTI_2458
dbpedia_sbti_4041,DBPedia_4040,SBTI_5355,Tetra Tech,Tetra Tech,100,DBPedia_4040SBTI_5355
dbpedia_sbti_8994,DBPedia_8993,SBTI_3215,LG Chem,LG Chem,100,DBPedia_8993SBTI_3215
dbpedia_sbti_2738,DBPedia_2737,SBTI_119,AECOM,AECOM,100,DBPedia_2737SBTI_119
dbpedia_sbti_8685,DBPedia_8684,SBTI_1694,Energia Group,Energia Group,100,DBPedia_8684SBTI_1694
