Match ID,dbpedia_uid,sbti_uid,dbpedia_company,sbti_company,Similarity Score,dbpedia_sbti_uids
dbpedia_sbti_3617,DBPedia_3616,SBTI_1442,Codexis,Dexus,67,DBPedia_3616SBTI_1442
dbpedia_sbti_6094,DBPedia_6093,SBTI_3632,Hennessy,Moët Hennessy,80,DBPedia_6093SBTI_3632
dbpedia_sbti_3904,DBPedia_3903,SBTI_5563,Teradata,TRAC Intermodal,61,DBPedia_3903SBTI_5563
dbpedia_sbti_3962,DBPedia_3961,SBTI_1957,Foreign & Colonial Investment Trust,Fortune Real Estate Investment Trust,67,DBPedia_3961SBTI_1957
dbpedia_sbti_3643,DBPedia_3642,SBTI_4844,Meditech,SHL Medical,63,DBPedia_3642SBTI_4844
dbpedia_sbti_3003,DBPedia_3002,SBTI_3578,Jack Wills,Mills AS,67,DBPedia_3002SBTI_3578
dbpedia_sbti_6433,DBPedia_6432,SBTI_4362,Santos Limited,Pulsant Limited,83,DBPedia_6432SBTI_4362
dbpedia_sbti_853,DBPedia_852,SBTI_3087,KCG Holdings,KPMG Holding,83,DBPedia_852SBTI_3087
dbpedia_sbti_4536,DBPedia_4535,SBTI_1164,Homasote,Comcast,67,DBPedia_4535SBTI_1164
dbpedia_sbti_8655,DBPedia_8654,SBTI_158,Gaz de France,Air France Group,62,DBPedia_8654SBTI_158
dbpedia_sbti_6011,DBPedia_6010,SBTI_57,Asteelflash Group,Accell Group,69,DBPedia_6010SBTI_57
dbpedia_sbti_8291,DBPedia_8290,SBTI_5232,Royal Business Bank,"TAIWAN BUSINESS BANK, LTD.",70,DBPedia_8290SBTI_5232
dbpedia_sbti_1067,DBPedia_1066,SBTI_860,Milo's Hamburgers,Burges Salmon LLP,59,DBPedia_1066SBTI_860
dbpedia_sbti_8240,DBPedia_8239,SBTI_3443,Sachtleben Chemie,MATSEN CHEMIE AG,61,DBPedia_8239SBTI_3443
dbpedia_sbti_6203,DBPedia_6202,SBTI_198,Buffalo Rock,ALDO Group Inc.,54,DBPedia_6202SBTI_198
dbpedia_sbti_5820,DBPedia_5819,SBTI_1065,5.11 Tactical,"Chugai Pharmaceutical Co., Ltd.",49,DBPedia_5819SBTI_1065
dbpedia_sbti_5510,DBPedia_5509,SBTI_1659,Sanwa Electronic,Elma Electronic,77,DBPedia_5509SBTI_1659
dbpedia_sbti_4235,DBPedia_4234,SBTI_4019,Olvi,Olvi Plc,67,DBPedia_4234SBTI_4019
dbpedia_sbti_1107,DBPedia_1106,SBTI_5574,Metrans Rail,Transflo,60,DBPedia_1106SBTI_5574
dbpedia_sbti_4016,DBPedia_4015,SBTI_5339,Exact (company),Tennant Company,79,DBPedia_4015SBTI_5339
dbpedia_sbti_10454,DBPedia_10453,SBTI_2234,Northrop Grumman,Grolman Group,62,DBPedia_10453SBTI_2234
dbpedia_sbti_5373,DBPedia_5372,SBTI_4088,Potbelly Sandwich Shop,OSTINELLI SETA SPA,55,DBPedia_5372SBTI_4088
dbpedia_sbti_1520,DBPedia_1519,SBTI_1785,Eranove,Everlane,67,DBPedia_1519SBTI_1785
dbpedia_sbti_8500,DBPedia_8499,SBTI_266,Blue Cross and Blue Shield of Alabama,Amarant Bakkersholding B.V.,48,DBPedia_8499SBTI_266
dbpedia_sbti_273,DBPedia_272,SBTI_4725,Elia Transmission Belgium,Scottish Hydro Electric Transmission Plc,58,DBPedia_272SBTI_4725
dbpedia_sbti_1780,DBPedia_1779,SBTI_1017,China Merchants Bank,"CHANG HWA COMMERCIAL BANK, LTD.",65,DBPedia_1779SBTI_1017
