Match ID,sbti_uid,forbes_uid,sbti_company,forbes_company,Similarity Score,sbti_fobes_uids
sbti_forbes_1922,SBTI_1922,Forbes_1711,FMC Corporation,Sumec Corporation,88,SBTI_1922Forbes_1711
sbti_forbes_2708,SBTI_2708,Forbes_860,International Flavors & Fragrances Inc.,International Flavors & Fragrances,94,SBTI_2708Forbes_860
sbti_forbes_4763,SBTI_4763,Forbes_758,"Sekisui House, LTD",Sekisui House,87,SBTI_4763Forbes_758
sbti_forbes_5133,SBTI_5133,Forbes_1711,SUMIDA CORPORATION,Sumec Corporation,86,SBTI_5133Forbes_1711
sbti_forbes_1338,SBTI_1338,Forbes_467,"Daiwa House Industry Co., Ltd.",Daiwa House Industry,85,SBTI_1338Forbes_467
sbti_forbes_4625,SBTI_4625,Forbes_263,"Salesforce.com, Inc.",Salesforce.com,88,SBTI_4625Forbes_263
sbti_forbes_1920,SBTI_1920,Forbes_1316,Flutter Entertainment plc,Flutter Entertainment,91,SBTI_1920Forbes_1316
sbti_forbes_2875,SBTI_2875,Forbes_1748,Johnson Matthey Plc,Johnson Matthey,88,SBTI_2875Forbes_1748
sbti_forbes_2244,SBTI_2244,Forbes_1342,Group One,StoneX Group,86,SBTI_2244Forbes_1342
sbti_forbes_4124,SBTI_4124,Forbes_625,Pal International,International Paper,89,SBTI_4124Forbes_625
sbti_forbes_5466,SBTI_5466,Forbes_1082,thyssenkrupp AG,ThyssenKrupp Group,85,SBTI_5466Forbes_1082
sbti_forbes_760,SBTI_760,Forbes_659,Booking Holdings Inc.,Booking Holdings,89,SBTI_760Forbes_659
sbti_forbes_906,SBTI_906,Forbes_543,Canadian Pacific Railway Company,Canadian Pacific Railway,86,SBTI_906Forbes_543
sbti_forbes_3853,SBTI_3853,Forbes_1553,"NIPPON EXPRESS HOLDINGS,INC.",NIPPON EXPRESS HOLDINGS,92,SBTI_3853Forbes_1553
sbti_forbes_972,SBTI_972,Forbes_1654,Castellum AB,Castellum,86,SBTI_972Forbes_1654
sbti_forbes_3323,SBTI_3323,Forbes_297,LyondellBasell Industries N.V.,LyondellBasell Industries,93,SBTI_3323Forbes_297
sbti_forbes_3312,SBTI_3312,Forbes_576,"Lumen Technologies, Inc.",Lumen Technologies,90,SBTI_3312Forbes_576
sbti_forbes_5656,SBTI_5656,Forbes_1711,UBE Corporation,Sumec Corporation,88,SBTI_5656Forbes_1711
