Match ID,sbti_uid,forbes_uid,sbti_company,forbes_company,Similarity Score,sbti_fobes_uids
sbti_forbes_3745,SBTI_3745,Forbes_1394,Nanya Technology Corporation,Spotify Technology,70,SBTI_3745Forbes_1394
sbti_forbes_5173,SBTI_5173,Forbes_614,Svegro Holding AB,S.F. Holding,71,SBTI_5173Forbes_614
sbti_forbes_6106,SBTI_6106,Forbes_292,Zebra A/S (Flying Tiger Copenhagen),Baoshan Iron & Steel,51,SBTI_6106Forbes_292
sbti_forbes_5515,SBTI_5515,Forbes_1022,Tokyu Fudosan Holdings Corporation,iA Financial Corporation,59,SBTI_5515Forbes_1022
sbti_forbes_3443,SBTI_3443,Forbes_1655,MATSEN CHEMIE AG,Wacker Chemie,62,SBTI_3443Forbes_1655
sbti_forbes_6025,SBTI_6025,Forbes_756,WPP Plc,WPP,60,SBTI_6025Forbes_756
sbti_forbes_5013,SBTI_5013,Forbes_1060,Specs Compound Handling B.V.,Cosmo Energy Holdings,50,SBTI_5013Forbes_1060
sbti_forbes_1431,SBTI_1431,Forbes_978,"Deutsche Gesellschaft fur Internationale Zusammenarbeit
GmbH (GIZ)",China International Marine,49,SBTI_1431Forbes_978
sbti_forbes_2194,SBTI_2194,Forbes_219,GrainCorp Limited,Midea Group,57,SBTI_2194Forbes_219
sbti_forbes_2241,SBTI_2241,Forbes_862,Group IMV Technologies,Roper Technologies,80,SBTI_2241Forbes_862
sbti_forbes_1364,SBTI_1364,Forbes_1895,David Brown Santasalo,Nanjing Iron & Steel,51,SBTI_1364Forbes_1895
sbti_forbes_590,SBTI_590,Forbes_867,Bank of Ireland Group,Bank of Ireland,83,SBTI_590Forbes_867
sbti_forbes_3444,SBTI_3444,Forbes_639,"MATSUDA SANGYO Co.,Ltd.",Idemitsu Kosan,51,SBTI_3444Forbes_639
sbti_forbes_4235,SBTI_4235,Forbes_449,Pivot Energy,TC Energy,76,SBTI_4235Forbes_449
sbti_forbes_5372,SBTI_5372,Forbes_709,The British Land Company PLC,The Mosaic Company,61,SBTI_5372Forbes_709
sbti_forbes_4015,SBTI_4015,Forbes_801,Ölgerðin Egill Skallagrímsson,Samsung Fire & Marine,49,SBTI_4015Forbes_801
sbti_forbes_4042,SBTI_4042,Forbes_123,Opal Cosmetics (Huizhou) Limited,Costco Wholesale,52,SBTI_4042Forbes_123
sbti_forbes_4925,SBTI_4925,Forbes_1697,"Skidmore, Owings and Merrill LLP",Shanghai Commercial & Savings Bank,51,SBTI_4925Forbes_1697
sbti_forbes_4240,SBTI_4240,Forbes_1310,PlantVision AB,Arab National Bank,56,SBTI_4240Forbes_1310
sbti_forbes_4142,SBTI_4142,Forbes_343,PANZANI,Panasonic,75,SBTI_4142Forbes_343
sbti_forbes_4252,SBTI_4252,Forbes_881,Plus-Project Ltd,Logan Property Holdings,51,SBTI_4252Forbes_881
sbti_forbes_462,SBTI_462,Forbes_1120,Atea,TBEA,75,SBTI_462Forbes_1120
sbti_forbes_899,SBTI_899,Forbes_1830,Campbell Lutyens Holdings Limited,Senshu Ikeda Holdings,59,SBTI_899Forbes_1830
sbti_forbes_4195,SBTI_4195,Forbes_782,PET STAR HOLDING,Otsuka Holding,73,SBTI_4195Forbes_782
sbti_forbes_1685,SBTI_1685,Forbes_1146,ENAV Group,Evraz Group,76,SBTI_1685Forbes_1146
sbti_forbes_701,SBTI_701,Forbes_1615,BioGaia AB,AB Sagax,56,SBTI_701Forbes_1615
sbti_forbes_6100,SBTI_6100,Forbes_710,Zadig&Voltaire,Bharti Airtel,52,SBTI_6100Forbes_710
sbti_forbes_2546,SBTI_2546,Forbes_879,Huiskula Oy,LG Display,48,SBTI_2546Forbes_879
sbti_forbes_4350,SBTI_4350,Forbes_745,PT. Lawangmas Primapack Indonesia,Telkom Indonesia,50,SBTI_4350Forbes_745
sbti_forbes_5047,SBTI_5047,Forbes_1631,St. Gallisch-Appenzellische Kraftwerke AG,Clal Insurance Enterprises ,42,SBTI_5047Forbes_1631
sbti_forbes_3806,SBTI_3806,Forbes_1112,"New Relic, Inc.",Realty Income,62,SBTI_3806Forbes_1112
sbti_forbes_4287,SBTI_4287,Forbes_622,Premier Energy Services Ltd,Eversource Energy,64,SBTI_4287Forbes_622
sbti_forbes_5675,SBTI_5675,Forbes_1820,UltraTech Cement Limited,Horizon Therapeutics Public Limited Company,57,SBTI_5675Forbes_1820
sbti_forbes_1014,SBTI_1014,Forbes_624,Chambers Federation,Hermès International,63,SBTI_1014Forbes_624
sbti_forbes_5436,SBTI_5436,Forbes_836,The Surveillance Group,QBE Insurance Group,73,SBTI_5436Forbes_836
sbti_forbes_6081,SBTI_6081,Forbes_969,Ylva,Solvay,60,SBTI_6081Forbes_969
sbti_forbes_5591,SBTI_5591,Forbes_1934,"Trench High Voltage Products Ltd., Shenyang",Shenzhen Inovance Technology,49,SBTI_5591Forbes_1934
sbti_forbes_620,SBTI_620,Forbes_938,Beauty Manufacturing Solutions Corp,Semiconductor Manufacturing International,61,SBTI_620Forbes_938
sbti_forbes_3900,SBTI_3900,Forbes_1614,Nordzucker,NiSource,56,SBTI_3900Forbes_1614
sbti_forbes_4035,SBTI_4035,Forbes_1535,ONOGI CO.LTD,Crown Holdings,54,SBTI_4035Forbes_1535
sbti_forbes_3545,SBTI_3545,Forbes_612,MGM Resorts International,Marriott International,77,SBTI_3545Forbes_612
sbti_forbes_1476,SBTI_1476,Forbes_1060,Ditrolic Energy Holdings Sdn. Bhd,Cosmo Energy Holdings,64,SBTI_1476Forbes_1060
sbti_forbes_5341,SBTI_5341,Forbes_1456,"TERADA CO.,Ltd",Franco-Nevada,54,SBTI_5341Forbes_1456
sbti_forbes_2906,SBTI_2906,Forbes_817,Kabbara LLC.,Ball,53,SBTI_2906Forbes_817
sbti_forbes_3844,SBTI_3844,Forbes_416,"Ningbo Great Group Co.,Ltd.",Greenland Holdings Group,65,SBTI_3844Forbes_416
sbti_forbes_1611,SBTI_1611,Forbes_1010,Edward Pearce LLP,Edwards Lifesciences,59,SBTI_1611Forbes_1010
sbti_forbes_5505,SBTI_5505,Forbes_809,"TOKAI TECHNO Co.,Ltd",HCL Technologies,63,SBTI_5505Forbes_809
sbti_forbes_5696,SBTI_5696,Forbes_878,Unisteel,Hyundai Steel,76,SBTI_5696Forbes_878
sbti_forbes_2912,SBTI_2912,Forbes_941,Kährs Group,WH Group ,78,SBTI_2912Forbes_941
sbti_forbes_4391,SBTI_4391,Forbes_594,Quattro Plant Ltd,Vedanta Limited,50,SBTI_4391Forbes_594
sbti_forbes_589,SBTI_589,Forbes_1687,Bank Ochrony Środowiska S.A.,Chang Hwa Bank,54,SBTI_589Forbes_1687
sbti_forbes_1423,SBTI_1423,Forbes_594,DESIGNCO PRIVATE LIMITED,Vedanta Limited,56,SBTI_1423Forbes_594
sbti_forbes_3024,SBTI_3024,Forbes_1620,"Kisyou Co., Ltd.",Trip.com Group,52,SBTI_3024Forbes_1620
sbti_forbes_5278,SBTI_5278,Forbes_1038,Taziker Industrial Ltd,Industries Qatar,63,SBTI_5278Forbes_1038
sbti_forbes_5741,SBTI_5741,Forbes_1164,VAIO Corporation,CJ Corporation,73,SBTI_5741Forbes_1164
sbti_forbes_2600,SBTI_2600,Forbes_1486,IG Group Holdings PLC,Iida Group Holdings,80,SBTI_2600Forbes_1486
