"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","1.0","Company name-{DBPedia_7204+Forbes_12}","DBPedia_7204+Forbes_12","{Microsoft|Microsoft}","Microsoft",,
"Company name","1.0","Company name-{DBPedia_2290+SBTI_1158}","DBPedia_2290+SBTI_1158","{Colruyt Group|Colruyt Group}","Colruyt Group",,
"Company name","1.0","Company name-{DBPedia_496+Forbes_1562}","DBPedia_496+Forbes_1562","{West Pharmaceutical Services|West Pharmaceutical Services}","West Pharmaceutical Services",,
"Company name","1.0","Company name-{DBPedia_9113+Forbes_1408}","DBPedia_9113+Forbes_1408","{Navient|Navient}","Navient",,
"Company name","1.0","Company name-{DBPedia_1776+Forbes_1777}","DBPedia_1776+Forbes_1777","{Foot Locker|Foot Locker}","Foot Locker",,
"Company name","0.0","Company name-{Forbes_1157+SBTI_6094}","Forbes_1157+SBTI_6094","{Yum China Holdings|Yum China Holdings, Inc.}","Yum China Holdings",,
"Company name","1.0","Company name-{DBPedia_4910+Forbes_1586+SBTI_4129}","DBPedia_4910+Forbes_1586+SBTI_4129","{Palo Alto Networks|Palo Alto Networks|Palo Alto Networks}","Palo Alto Networks",,
"Company name","1.0","Company name-{DBPedia_9511+Forbes_113+SBTI_814}","DBPedia_9511+Forbes_113+SBTI_814","{Bristol Myers Squibb|Bristol Myers Squibb|Bristol Myers Squibb}","Bristol Myers Squibb",,
"Company name","1.0","Company name-{DBPedia_9457+Forbes_1540}","DBPedia_9457+Forbes_1540","{Shiseido|Shiseido}","Shiseido",,
"Company name","1.0","Company name-{Forbes_473+SBTI_956}","Forbes_473+SBTI_956","{Carrefour|Carrefour}","Carrefour",,
"Company name","0.6666666666666666","Company name-{DBPedia_1590+Forbes_1454+SBTI_109}","DBPedia_1590+Forbes_1454+SBTI_109","{Advance Auto Parts|Advance Auto Parts|Advance Auto Parts, Inc}","Advance Auto Parts",,
"Company name","1.0","Company name-{DBPedia_7096+SBTI_3320}","DBPedia_7096+SBTI_3320","{LVMH|LVMH}","LVMH",,
"Company name","0.0","Company name-{DBPedia_5139+DBPedia_8166+SBTI_1040}","DBPedia_5139+DBPedia_8166+SBTI_1040","{Chiyoda Corporation|Chiron Corporation|CHIMEI CORPORATION}","Chiron Corporation",,
"Company name","1.0","Company name-{DBPedia_9498+Forbes_411}","DBPedia_9498+Forbes_411","{BAE Systems|BAE Systems}","BAE Systems",,
"Company name","1.0","Company name-{DBPedia_7101+Forbes_235}","DBPedia_7101+Forbes_235","{Sun Life Financial|Sun Life Financial}","Sun Life Financial",,
"Company name","1.0","Company name-{DBPedia_7833+Forbes_1502}","DBPedia_7833+Forbes_1502","{Adient|Adient}","Adient",,
"Company name","0.0","Company name-{DBPedia_3301+SBTI_2519}","DBPedia_3301+SBTI_2519","{Host Hotels & Resorts|Host Hotels & Resorts, Inc.}","Host Hotels & Resorts",,
"Company name","1.0","Company name-{DBPedia_2302+Forbes_1341+SBTI_4710}","DBPedia_2302+Forbes_1341+SBTI_4710","{Schroders|Schroders|Schroders}","Schroders",,
