"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Industry","0.0","Industry-{DBPedia_6380+Forbes_970}","DBPedia_6380+Forbes_970","{[, Petroleum industry, , Pipeline transport, ]|[, Oil & Gas Operations, ]}","[, Oil & Gas Operations, Petroleum industry, Pipeline transport]",,
"Industry","0.0","Industry-{DBPedia_7607+SBTI_5159}","DBPedia_7607+SBTI_5159","{[, Computer software, ]|[]}","[, Computer software]",,
"Industry","1.0","Industry-{DBPedia_3+SBTI_5688}","DBPedia_3+SBTI_5688","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_9083+Forbes_1574}","DBPedia_9083+Forbes_1574","{[, Manufacturing, ]|[, Consumer Durables, ]}","[, Consumer Durables, Manufacturing]",,
"Industry","0.0","Industry-{DBPedia_7255+Forbes_1366}","DBPedia_7255+Forbes_1366","{[, Petrochemicals, ]|[, Chemicals, ]}","[, Petrochemicals, Chemicals]",,
"Industry","0.0","Industry-{DBPedia_3074+Forbes_262}","DBPedia_3074+Forbes_262","{[, Petroleum industry, ]|[, Oil & Gas Operations, ]}","[, Oil & Gas Operations, Petroleum industry]",,
"Industry","0.0","Industry-{DBPedia_9005+SBTI_5314}","DBPedia_9005+SBTI_5314","{[, Electronics, ]|[]}","[, Electronics]",,
"Industry","0.0","Industry-{DBPedia_9882+SBTI_3030}","DBPedia_9882+SBTI_3030","{[, Property, ]|[]}","[, Property]",,
"Industry","0.0","Industry-{DBPedia_4983+SBTI_5334}","DBPedia_4983+SBTI_5334","{[, Computer software, , Digital banking, , Software, ]|[]}","[, Computer software, Digital banking, Software]",,
"Industry","0.0","Industry-{DBPedia_2691+SBTI_5475}","DBPedia_2691+SBTI_5475","{[, Retail, ]|[]}","[, Retail]",,
"Industry","0.0","Industry-{Forbes_121+SBTI_1271}","Forbes_121+SBTI_1271","{[, Banking, ]|[]}","[, Banking]",,
"Industry","0.0","Industry-{DBPedia_3943+Forbes_608}","DBPedia_3943+Forbes_608","{[, Video surveillance, ]|[, Technology Hardware & Equipment, ]}","[, Technology Hardware & Equipment, Video surveillance]",,
"Industry","0.0","Industry-{Forbes_40+SBTI_2872}","Forbes_40+SBTI_2872","{[, Drugs & Biotechnology, ]|[]}","[, Drugs & Biotechnology]",,
"Industry","0.0","Industry-{DBPedia_4754+Forbes_928}","DBPedia_4754+Forbes_928","{[, Utilities, , Wastewater, , Water, ]|[, Utilities, ]}","[, Water, Utilities, Wastewater]",,
"Industry","0.0","Industry-{DBPedia_5115+Forbes_1239}","DBPedia_5115+Forbes_1239","{[, Integrated circuit, , Internet of Things, , Self-driving car, , Software Testing, , Software as a service, ]|[, IT Software & Services, ]}","[, Software as a service, Integrated circuit, Software Testing, IT Software & Services, Self-driving car, Internet of Things]",,
"Industry","1.0","Industry-{DBPedia_1369+Forbes_1685}","DBPedia_1369+Forbes_1685","{[, Construction, ]|[, Construction, ]}","[, Construction]",,
"Industry","0.0","Industry-{DBPedia_5731+SBTI_5959}","DBPedia_5731+SBTI_5959","{[, Home appliance, ]|[]}","[, Home appliance]",,
"Industry","0.0","Industry-{DBPedia_236+DBPedia_4667+SBTI_2072}","DBPedia_236+DBPedia_4667+SBTI_2072","{[, Security, ]|[, Food industry, ]|[]}","[, Food industry, Security]",,
"Industry","0.0","Industry-{DBPedia_4045+Forbes_68+SBTI_3921}","DBPedia_4045+Forbes_68+SBTI_3921","{[, Pharmaceutical industry, ]|[, Drugs & Biotechnology, ]|[]}","[, Drugs & Biotechnology, Pharmaceutical industry]",,
"Industry","0.0","Industry-{DBPedia_2800+Forbes_946}","DBPedia_2800+Forbes_946","{[, Real estate investment trust, ]|[, Diversified Financials, ]}","[, Real estate investment trust, Diversified Financials]",,
